model,price,reviews,sells,url,vendor
,419.99,43,22,https://produto.mercadolivre.com.br/MLB-2120171473-roteador-dir3040-mesh-exo-mu-mimo-tri-band-d-link-ac3000mbps-_JM,
,229.99,602,803,https://produto.mercadolivre.com.br/MLB-1527496936-roteador-mercusys-ac12g-dual-band-gigabit-ac1200-_JM,
,102.64,"2,462",36,https://produto.mercadolivre.com.br/MLB-1948122727-roteador-tp-link-300mbps-2-antenas-tl-wr840n-w-preset-_JM,
,184.04,252,41,https://produto.mercadolivre.com.br/MLB-1633259627-roteador-mercusys-300-mbps-high-power-mw330hp-_JM,
,590,26,784,https://produto.mercadolivre.com.br/MLB-1828129835-roteador-amplimax-fit-4g-eprl18-elsys-_JM,
RouterBOARD,710,7,469,https://www.mercadolivre.com.br/roteador-mikrotik-routerboard-hex-poe-rb960pgs-branco-e-azul-turquesa-100v240v/p/MLB8718767?pdp_filters=category:MLB5867,MikroTik
,93.30,5,94,https://produto.mercadolivre.com.br/MLB-1832011053-repetidor-sinal-wireless-wifi-extensor-600mbps-de-velocidade-_JM,
,1292.97,367,478,https://produto.mercadolivre.com.br/MLB-1747712999-mikrotik-routerboard-rb-3011uias-rm-l5-4ghz-usb-30-cnf-_JM,
,223.81,202,3,https://produto.mercadolivre.com.br/MLB-2073458194-roteador-twibi-fast-wi-fi-5-mesh-intelbras-_JM,
,95.39,969,145,https://produto.mercadolivre.com.br/MLB-1921106798-repetidor-xiaomi-mi-pro-300m-preto-100v240v-_JM,
,54.90,7,205,https://produto.mercadolivre.com.br/MLB-1637378893-mini-repetidor-amplificador-de-sinal-wifi-router-extender-_JM,
,105,969,55,https://produto.mercadolivre.com.br/MLB-1236641359-xiaomi-pro-300m-repetidor-wifi-amplificador-adaptador-ac-_JM,
,276.90,4,11,https://produto.mercadolivre.com.br/MLB-2111096330-roteador-wireless-cpe-24ghz-12dbi-pqws-2412-proeletronic-_JM,
,78.80,208,4232,https://produto.mercadolivre.com.br/MLB-916551136-repetidor-de-sinal-wifi-expansor-wireless-300m-internet-_JM,
,59.99,35,622,https://produto.mercadolivre.com.br/MLB-1404055275-repetidor-expansor-de-sinal-wifi-internet-roteador-wireless-_JM,
TL-WR820N,157,21,719,https://www.mercadolivre.com.br/roteador-wmm-tp-link-tl-wr820n-v1-branco/p/MLB17846171?pdp_filters=category:MLB5867,TP-Link
Nest Wifi,936,23,193,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-google-nest-wifi-snow-220v/p/MLB7917418?pdp_filters=category:MLB5867,Google
,99,384,1,https://produto.mercadolivre.com.br/MLB-2190324751-repetidor-wi-fi-mini-roteador-wireless-4-antenas-2800m-_JM,
,304.48,141,1,https://produto.mercadolivre.com.br/MLB-2603595523-roteador-mercusys-wireless-gigabit-dual-band-ac1900-mr50g-_JM,
,499,712,306,https://produto.mercadolivre.com.br/MLB-1149985936-routerboard-rb750-gr3-hex-l4-mikrotik-_JM,
,94.83,141,1896,https://produto.mercadolivre.com.br/MLB-743960836-roteador-repetidor-wirelles-1200mbps-2-antena-amplificador-_JM,
,969,7,132,https://produto.mercadolivre.com.br/MLB-1265241356-kit-elsys-amplimax-4g-rural-antena20dbi-4g-cabo-descida-_JM,
,78.20,"1,229",175,https://produto.mercadolivre.com.br/MLB-1912594329-roteador-mercusys-wireless-n-300mbps-mw301r-_JM,
